MIDI,Onset,Duration,String,Position,Finger,Expansion
48,0.0,0.125,3,4,3,0
60,0.125,0.125,1,4,1,0
63,0.25,0.125,1,4,4,0
60,0.375,0.125,1,4,1,0
47,0.5,0.125,3,4,2,0
62,0.625,0.125,1,4,3,0
63,0.75,0.125,1,4,4,0
62,0.875,0.125,1,4,3,0
48,0.0,0.125,3,4,3,0
60,0.125,0.125,1,4,1,0
63,0.25,0.125,1,4,4,0
60,0.375,0.125,1,4,1,0
62,0.5,0.125,1,6,1,0
63,0.625,0.125,1,6,2,0
65,0.75,0.125,1,6,4,0
62,0.875,0.125,1,6,1,0
48,0.0,0.125,3,4,3,0
60,0.125,0.125,1,4,1,0
63,0.25,0.125,1,4,4,0
60,0.375,0.125,1,4,1,0
47,0.5,0.125,3,4,2,0
62,0.625,0.125,1,4,3,0
63,0.75,0.125,1,4,4,0
62,0.875,0.125,1,4,3,0
48,0.0,0.125,3,4,3,0
60,0.125,0.125,1,4,1,0
63,0.25,0.125,1,4,4,0
60,0.375,0.125,1,4,1,0
62,0.5,0.125,1,6,1,0
63,0.625,0.125,1,6,2,0
65,0.75,0.125,1,6,4,0
62,0.875,0.125,1,6,1,0
48,0.0,0.125,3,4,3,0
60,0.125,0.125,1,4,1,0
63,0.25,0.125,1,4,4,0
60,0.375,0.125,1,4,1,0
45,0.5,0.125,3,1,2,0
60,0.625,0.125,1,1,3,0
61,0.75,0.125,1,1,4,0
60,0.875,0.125,1,1,3,0
46,0.0,0.125,3,1,3,0
58,0.125,0.125,1,1,1,0
62,0.25,0.125,1,1,4,1
58,0.375,0.125,1,1,1,0
60,0.5,0.125,1,4,1,0
62,0.625,0.125,1,4,2,1
63,0.75,0.125,1,4,4,0
60,0.875,0.125,1,4,1,0
46,0.0,0.125,3,1,3,0
58,0.125,0.125,1,1,1,0
62,0.25,0.125,1,1,4,1
58,0.375,0.125,1,1,1,0
45,0.5,0.125,3,1,2,0
60,0.625,0.125,1,1,3,0
62,0.75,0.125,1,1,4,1
60,0.875,0.125,1,1,3,0
46,0.0,0.125,3,1,3,0
58,0.125,0.125,1,1,1,0
61,0.25,0.125,1,1,4,0
58,0.375,0.125,1,1,1,0
43,0.5,0.125,3,1,0,0
58,0.625,0.125,1,1,1,0
61,0.75,0.125,1,1,4,0
58,0.875,0.125,1,1,1,0
44,0.0,0.125,3,1,1,0
60,0.125,0.125,1,1,3,0
61,0.25,0.125,1,1,4,0
60,0.375,0.125,1,1,3,0
44,0.5,0.125,3,1,1,0
60,0.625,0.125,1,1,3,0
61,0.75,0.125,1,1,4,0
60,0.875,0.125,1,1,3,0
43,0.0,0.125,3,1,0,0
60,0.125,0.125,1,1,3,0
61,0.25,0.125,1,1,4,0
60,0.375,0.125,1,1,3,0
43,0.5,0.125,3,1,0,0
60,0.625,0.125,1,1,3,0
61,0.75,0.125,1,1,4,0
60,0.875,0.125,1,1,3,0
42,0.0,0.125,4,7,1,0
43,0.125,0.125,4,7,2,0
45,0.25,0.125,4,7,4,0
43,0.375,0.125,4,7,2,0
42,0.5,0.125,4,7,1,0
45,0.625,0.125,4,7,4,0
48,0.75,0.125,3,6,1,0
51,0.875,0.125,3,6,4,0
48,0.0,0.125,3,6,1,0
50,0.125,0.125,3,6,3,0
51,0.25,0.125,3,6,4,0
50,0.375,0.125,3,6,3,0
48,0.5,0.125,3,6,1,0
51,0.625,0.125,3,6,4,0
48,0.75,0.125,3,6,1,0
45,0.875,0.125,4,7,4,0
42,0.0,0.125,4,7,1,0
45,0.125,0.125,4,7,4,0
48,0.25,0.125,3,6,1,0
51,0.375,0.125,3,6,4,0
48,0.5,0.125,3,6,1,0
51,0.625,0.125,3,6,4,0
48,0.75,0.125,3,6,1,0
45,0.875,0.125,4,7,4,0
42,0.0,0.125,4,7,1,0
45,0.125,0.125,4,7,4,0
48,0.25,0.125,3,6,1,0
51,0.375,0.125,3,6,4,0
54,0.5,0.125,2,5,1,0
57,0.625,0.125,2,5,4,0
60,0.75,0.125,1,4,1,0
63,0.875,0.125,1,4,4,0
63,0.0,0.125,1,4,4,0
62,0.125,0.125,1,4,3,0
61,0.25,0.125,1,4,2,0
62,0.375,0.125,1,4,3,0
61,0.5,0.125,1,4,2,0
62,0.625,0.125,1,4,3,0
63,0.75,0.125,1,4,4,0
62,0.875,0.125,1,4,3,0
60,0.0,0.125,1,4,1,0
62,0.125,0.125,1,4,3,0
63,0.25,0.125,1,4,4,0
62,0.375,0.125,1,4,3,0
60,0.5,0.125,1,4,1,0
63,0.625,0.125,1,4,4,0
62,0.75,0.125,1,4,3,0
60,0.875,0.125,1,4,1,0
